iter	Logloss
0	0.6184941681
1	0.5763214618
2	0.5427565187
3	0.5140845693
4	0.4959343448
5	0.4798963004
6	0.4698763963
7	0.4604516119
8	0.4495189641
9	0.4375579455
10	0.42873647
11	0.4234084395
12	0.4164405099
13	0.4081937465
14	0.4024235683
15	0.3971649002
16	0.3933486433
17	0.3860845948
18	0.3818927458
19	0.3786540177
20	0.3756183998
21	0.3708246138
22	0.36743521
23	0.3654036676
24	0.3630315905
25	0.360730769
26	0.3574666324
27	0.354871965
28	0.3511037304
29	0.3491480712
30	0.3469941328
31	0.3444439996
32	0.3420948642
33	0.340002788
34	0.3364304318
35	0.3334962983
36	0.3314160165
37	0.3297172166
38	0.3275972131
39	0.3259214505
40	0.3244951254
41	0.3232927414
42	0.3216919293
43	0.3193641915
44	0.3157351148
45	0.3141795584
46	0.3114712179
47	0.3099179427
48	0.3087292649
49	0.3072009163
50	0.3055412297
51	0.3043311464
52	0.3017792261
53	0.2991060945
54	0.2967169878
55	0.2951675647
56	0.2928765078
57	0.2904143085
58	0.2887556191
59	0.2860693896
60	0.2837744181
61	0.2823497472
62	0.2810311443
63	0.2793740327
64	0.2780040544
65	0.2757245053
66	0.2739507952
67	0.2729184703
68	0.2718003504
69	0.2703540547
70	0.2685842285
71	0.2663929185
72	0.2653548034
73	0.2631984317
74	0.2616374707
75	0.2603714533
76	0.2596702446
77	0.2586776635
78	0.2574833658
79	0.2563897486
80	0.2547476712
81	0.2535512384
82	0.2524356111
83	0.2502680303
84	0.2490166064
85	0.2477488441
86	0.2468570785
87	0.245932732
88	0.2445588702
89	0.2437186181
90	0.2424394719
91	0.2418382168
92	0.2408754994
93	0.2397545975
94	0.2385587084
95	0.237908558
96	0.2367036129
97	0.2358048648
98	0.2340021299
99	0.2330527656
100	0.2323430432
101	0.2316098346
102	0.2305875337
103	0.2300011666
104	0.2292180827
105	0.2282910126
106	0.2280428156
107	0.2272529901
108	0.2265585737
109	0.2257286262
110	0.224643892
111	0.2235345105
112	0.2230541397
113	0.2216712339
114	0.2206874966
115	0.2198905698
116	0.2190645842
117	0.2182848115
118	0.2173684724
119	0.2165038737
120	0.2159406254
121	0.2151885698
122	0.214869178
123	0.2146658223
124	0.2139826029
125	0.213277035
126	0.2127412005
127	0.2121334083
128	0.2104630562
129	0.2096298066
130	0.2087485099
131	0.2083082207
132	0.2077061018
133	0.2071718362
134	0.2064939675
135	0.2057843241
136	0.2053447418
137	0.2047723843
138	0.2041268705
139	0.2035580013
140	0.2027875047
141	0.2023142848
142	0.2016726376
143	0.2010728922
144	0.2002909258
145	0.1997762383
146	0.1991556851
147	0.1989855005
148	0.1982718325
149	0.1975940726
150	0.1971167604
151	0.1964250831
152	0.195924003
153	0.195487015
154	0.1947256072
155	0.1944567227
156	0.1943278875
157	0.1938091325
158	0.193302282
159	0.1920211395
160	0.1917437206
161	0.1916278593
162	0.1910836942
163	0.1904962733
164	0.1899050316
165	0.1895163291
166	0.1890840142
167	0.188586315
168	0.187913955
169	0.1875238101
170	0.187106427
171	0.1864823701
172	0.1859628679
173	0.1854559902
174	0.1850457198
175	0.1845442159
176	0.1840015961
177	0.1838201243
178	0.1837141817
179	0.1832904432
180	0.1825569323
181	0.1821429768
182	0.1817724953
183	0.1816261999
184	0.1810316646
185	0.1806989275
186	0.1805999774
187	0.1800789953
188	0.1795737661
189	0.1789945279
190	0.1785347553
191	0.1777665939
192	0.1775944823
193	0.1771892451
194	0.1770941206
195	0.1760156504
196	0.1752690653
197	0.1750932486
198	0.1745998568
199	0.1741310682
