iter	Passed	Remaining
0	57	11457
1	101	10043
2	147	9699
3	192	9408
4	236	9228
5	277	8974
6	319	8806
7	359	8635
8	401	8521
9	442	8406
10	486	8361
11	526	8253
12	570	8205
13	610	8112
14	651	8040
15	692	7966
16	734	7903
17	776	7847
18	819	7806
19	859	7736
20	899	7667
21	940	7606
22	979	7540
23	1019	7477
24	1058	7412
25	1098	7352
26	1140	7306
27	1180	7253
28	1223	7215
29	1262	7156
30	1302	7101
31	1345	7061
32	1385	7009
33	1424	6954
34	1464	6902
35	1504	6851
36	1545	6809
37	1585	6759
38	1626	6713
39	1667	6670
40	1706	6618
41	1745	6567
42	1785	6518
43	1826	6474
44	1865	6425
45	1904	6377
46	1948	6344
47	1989	6299
48	2028	6251
49	2068	6206
50	2109	6161
51	2148	6115
52	2193	6082
53	2233	6039
54	2275	5997
55	2314	5952
56	2357	5914
57	2402	5880
58	2441	5835
59	2485	5800
60	2525	5755
61	2568	5716
62	2607	5670
63	2648	5627
64	2687	5582
65	2729	5541
66	2772	5502
67	2811	5458
68	2851	5413
69	2893	5372
70	2932	5328
71	2974	5288
72	3016	5247
73	3058	5208
74	3101	5168
75	3140	5124
76	3179	5079
77	3221	5038
78	3261	4994
79	3302	4954
80	3346	4915
81	3390	4878
82	3430	4836
83	3475	4799
84	3518	4760
85	3559	4718
86	3598	4674
87	3640	4632
88	3681	4591
89	3721	4548
90	3764	4508
91	3803	4464
92	3843	4421
93	3882	4378
94	3927	4340
95	3966	4297
96	4006	4254
97	4047	4212
98	4091	4173
99	4133	4133
100	4172	4090
101	4212	4047
102	4256	4008
103	4295	3965
104	4334	3921
105	4374	3879
106	4414	3836
107	4455	3795
108	4494	3752
109	4536	3711
110	4580	3672
111	4625	3634
112	4665	3592
113	4709	3552
114	4751	3511
115	4792	3470
116	4832	3428
117	4875	3388
118	4917	3347
119	4961	3307
120	5003	3266
121	5044	3225
122	5084	3183
123	5123	3140
124	5164	3098
125	5206	3057
126	5248	3016
127	5288	2974
128	5329	2933
129	5373	2893
130	5415	2852
131	5456	2810
132	5498	2769
133	5539	2728
134	5581	2687
135	5623	2646
136	5662	2604
137	5701	2561
138	5741	2519
139	5784	2479
140	5829	2439
141	5869	2397
142	5909	2355
143	5950	2313
144	5993	2273
145	6032	2231
146	6073	2189
147	6112	2147
148	6152	2105
149	6192	2064
150	6232	2022
151	6276	1981
152	6315	1939
153	6355	1898
154	6398	1857
155	6437	1815
156	6475	1773
157	6515	1731
158	6554	1690
159	6595	1648
160	6635	1607
161	6674	1565
162	6713	1523
163	6752	1482
164	6792	1440
165	6831	1399
166	6870	1357
167	6909	1316
168	6950	1275
169	6990	1233
170	7032	1192
171	7072	1151
172	7112	1109
173	7153	1068
174	7192	1027
175	7232	986
176	7272	945
177	7311	903
178	7350	862
179	7390	821
180	7432	780
181	7472	739
182	7513	697
183	7552	656
184	7595	615
185	7635	574
186	7674	533
187	7714	492
188	7755	451
189	7796	410
190	7836	369
191	7880	328
192	7919	287
193	7960	246
194	7999	205
195	8041	164
196	8082	123
197	8120	82
198	8160	41
199	8202	0
